month,stock_label,quintile,ew_return,n,holding_month
2017-02,baseline,2,-0.022868739175690832,482,2017-03
2017-02,baseline,3,-0.02126254099668596,482,2017-03
2017-02,baseline,4,-0.017124804190174397,482,2017-03
2017-02,baseline,5,-0.01617175209442339,482,2017-03
2017-02,information,1,-0.02594842164969997,5,2017-03
2017-02,information,2,-0.013873825051040622,5,2017-03
2017-02,information,3,0.03860980177298878,5,2017-03
2017-02,information,4,-0.0019613387966496143,5,2017-03
2017-02,information,5,-0.02857171596445779,6,2017-03
2017-03,attention,1,-0.050476031531978834,58,2017-04
2017-03,attention,2,-0.042546413441224666,59,2017-04
2017-03,attention,3,-0.04134612361238457,59,2017-04
2017-03,attention,4,-0.033576973844135743,59,2017-04
2017-03,attention,5,-0.061299617723756236,59,2017-04
2017-03,baseline,1,-0.08069344469682421,457,2017-04
2017-03,baseline,2,-0.05621455109580047,457,2017-04
2017-03,baseline,3,-0.05348504121973792,458,2017-04
2017-03,baseline,4,-0.05230384599147853,457,2017-04
2017-03,baseline,5,-0.050204772008798394,458,2017-04
2017-03,information,1,-0.050275794312643576,11,2017-04
2017-03,information,2,-0.05329432176390655,12,2017-04
2017-03,information,3,-0.03688980553638798,11,2017-04
2017-03,information,4,-0.021796865001526545,12,2017-04
2017-03,information,5,-0.06279635805365318,12,2017-04
2017-04,attention,1,-0.09750187966718432,51,2017-05
2017-04,attention,2,-0.07852042408183275,51,2017-05
2017-04,attention,3,-0.06709771134697888,51,2017-05
2017-04,attention,4,-0.04310703778525165,51,2017-05
2017-04,attention,5,-0.05776931543650923,52,2017-05
2017-04,baseline,1,-0.0896026568428327,446,2017-05
2017-04,baseline,2,-0.060795665562893945,446,2017-05
2017-04,baseline,3,-0.0672454770465899,446,2017-05
2017-04,baseline,4,-0.06976843622447201,446,2017-05
2017-04,baseline,5,-0.061977246115642225,447,2017-05
2017-04,information,1,-0.05254435999995431,33,2017-05
2017-04,information,2,-0.05554612873644157,33,2017-05
2017-04,information,3,-0.01704576915082684,33,2017-05
2017-04,information,4,-0.021558617382692213,33,2017-05
2017-04,information,5,-0.04641846171068878,33,2017-05
2017-05,attention,1,-0.0069530558964839935,35,2017-06
2017-05,attention,2,0.029823160812220223,35,2017-06
2017-05,attention,3,0.02629877956714951,35,2017-06
2017-05,attention,4,0.04699281554818814,35,2017-06
2017-05,attention,5,0.010498697525789226,36,2017-06
2017-05,baseline,1,0.032361535209022935,475,2017-06
2017-05,baseline,2,0.05092215435178299,475,2017-06
2017-05,baseline,3,0.048714189344103494,475,2017-06
2017-05,baseline,4,0.05126355134463655,475,2017-06
2017-05,baseline,5,0.04353207093319918,475,2017-06
2017-05,information,1,0.0046290522441094295,14,2017-06
2017-05,information,2,0.0532532303160921,15,2017-06
2017-05,information,3,0.05849473740646759,15,2017-06
2017-05,information,4,0.056860346536259626,15,2017-06
2017-05,information,5,0.020524989652198563,15,2017-06
2017-06,attention,1,0.006309137904550287,53,2017-07
2017-06,attention,2,-0.0022230628451763543,53,2017-07
2017-06,attention,3,-0.006989076422536145,54,2017-07
2017-06,attention,4,0.0018364469891535495,53,2017-07
2017-06,attention,5,0.03013662720964093,54,2017-07
2017-06,baseline,1,-0.019086031382382757,456,2017-07
2017-06,baseline,2,0.01252737769586406,456,2017-07
2017-06,baseline,3,0.01730803092764062,457,2017-07
2017-06,baseline,4,0.01509352428642516,456,2017-07
2017-06,baseline,5,-0.004806838463941146,457,2017-07
2017-06,information,1,0.028551573292074583,15,2017-07
2017-06,information,2,0.0027394166314140453,15,2017-07
2017-06,information,3,0.07247521402673643,16,2017-07
2017-06,information,4,0.027505640677942752,15,2017-07
2017-06,information,5,-0.007974052368568851,16,2017-07
2017-07,attention,1,0.00041977323816667634,120,2017-08
2017-07,attention,2,0.028229539868856606,120,2017-08
2017-07,attention,3,0.01455890867138779,120,2017-08
2017-07,attention,4,0.015528536129536648,120,2017-08
2017-07,attention,5,0.028475046064191798,121,2017-08
2017-07,baseline,1,0.03845694668066669,378,2017-08
2017-07,baseline,2,0.0434591557331205,379,2017-08
2017-07,baseline,3,0.03413855814330235,379,2017-08
2017-07,baseline,4,0.032099968925076945,379,2017-08
2017-07,baseline,5,0.03458699157853297,378,2017-08
2017-07,information,1,0.03760983486652561,30,2017-08
2017-07,information,2,0.02583423698332485,31,2017-08
2017-07,information,3,0.028964260513865338,31,2017-08
2017-07,information,4,0.04197316991852163,31,2017-08
2017-07,information,5,0.051412981592023746,31,2017-08
2017-08,attention,1,0.014644161885095978,116,2017-09
2017-08,attention,2,0.005671707749089577,116,2017-09
2017-08,attention,3,0.024825270391934644,116,2017-09
2017-08,attention,4,0.005834776798009736,116,2017-09
2017-08,attention,5,0.0167448066784532,117,2017-09
2017-08,baseline,1,0.006589173853710597,390,2017-09
2017-08,baseline,2,0.01827152112094677,391,2017-09
2017-08,baseline,3,0.012165333939267466,391,2017-09
2017-08,baseline,4,0.022990575705048286,391,2017-09
2017-08,baseline,5,0.02627503189801365,390,2017-09
2017-08,information,1,0.009648790799982888,28,2017-09
2017-08,information,2,0.02129041407951403,28,2017-09
2017-08,information,3,0.03239155168293605,29,2017-09
2017-08,information,4,0.003021266827322816,28,2017-09
2017-08,information,5,0.018926927491752545,29,2017-09
2017-09,attention,1,-0.06640954536839337,125,2017-10
2017-09,attention,2,-0.04431039343107407,126,2017-10
2017-09,attention,3,-0.014370368834707657,126,2017-10
2017-09,attention,4,-0.020138421078905993,126,2017-10
2017-09,attention,5,-0.023835112484608758,126,2017-10
2017-09,baseline,1,-0.043267413826740264,419,2017-10
2017-09,baseline,2,-0.019758139291851974,419,2017-10
2017-09,baseline,3,-0.012467234348111197,419,2017-10
2017-09,baseline,4,-0.0015473151105901658,419,2017-10
2017-09,baseline,5,-0.0054650355414240116,420,2017-10
2017-09,information,1,-0.2039180765805877,1,2017-10
2017-09,information,2,-0.09470047643778079,2,2017-10
2017-09,information,3,-0.0029235005253789303,2,2017-10
2017-09,information,4,-0.0827419952709823,2,2017-10
2017-09,information,5,0.2770625099159131,2,2017-10
2017-10,attention,1,-0.09440926097478332,63,2017-11
2017-10,attention,2,-0.07449626537568131,64,2017-11
2017-10,attention,3,-0.05792649985409405,64,2017-11
2017-10,attention,4,-0.07370935038012409,64,2017-11
2017-10,attention,5,-0.04936211013360312,64,2017-11
2017-10,baseline,1,-0.07555262550493465,446,2017-11
2017-10,baseline,2,-0.06633557378452917,446,2017-11
2017-10,baseline,3,-0.061340411189647184,446,2017-11
2017-10,baseline,4,-0.05815220543768205,446,2017-11
2017-10,baseline,5,-0.06147605825120092,447,2017-11
2017-10,information,1,-0.08784784692579728,41,2017-11
