month,holding_month,stock_label,quintile,ew_cumulative_return,n,horizon_trading_days
2012-07,2012-08,information,5,0.019382015935494015,28,1
2012-08,2012-09,attention,1,0.019507041289832838,32,1
2012-08,2012-09,attention,2,0.023753974273300903,32,1
2012-08,2012-09,attention,3,0.017854217946674952,32,1
2012-08,2012-09,attention,4,0.01627165897095124,32,1
2012-08,2012-09,attention,5,0.015301075779443249,33,1
2012-08,2012-09,baseline,1,0.02094860074630094,371,1
2012-08,2012-09,baseline,2,0.01899906571046658,371,1
2012-08,2012-09,baseline,3,0.015960132305568284,371,1
2012-08,2012-09,baseline,4,0.014005176660156984,371,1
2012-08,2012-09,baseline,5,0.014124154186123894,372,1
2012-08,2012-09,information,1,0.016918064872864635,20,1
2012-08,2012-09,information,2,0.01919893126846516,20,1
2012-08,2012-09,information,3,0.014343936027254322,20,1
2012-08,2012-09,information,4,0.014868019410848676,20,1
2012-08,2012-09,information,5,0.018242090475403455,21,1
2012-09,2012-10,attention,1,0.00012064770405791467,56,1
2012-09,2012-10,attention,2,-0.0033309604862899267,56,1
2012-09,2012-10,attention,3,-0.0031038476338183935,56,1
2012-09,2012-10,attention,4,-0.0056326557379221065,56,1
2012-09,2012-10,attention,5,-0.007680566177655119,57,1
2012-09,2012-10,baseline,1,0.0030055467384727556,371,1
2012-09,2012-10,baseline,2,-0.0014173298043392718,371,1
2012-09,2012-10,baseline,3,-0.0015714519260602176,371,1
2012-09,2012-10,baseline,4,-0.002980561363654964,371,1
2012-09,2012-10,baseline,5,-0.003398149149243087,372,1
2012-09,2012-10,information,1,0.035160289555325575,1,1
2012-09,2012-10,information,2,0.043243243243243246,1,1
2012-09,2012-10,information,3,-0.01446280991735549,1,1
2012-09,2012-10,information,4,0.0017094017094017033,1,1
2012-09,2012-10,information,5,-0.009803921568627527,1,1
2012-10,2012-11,attention,1,0.01722826533084857,45,1
2012-10,2012-11,attention,2,0.018745634582113615,45,1
2012-10,2012-11,attention,3,0.021046724197021742,45,1
2012-10,2012-11,attention,4,0.014724479901417838,45,1
2012-10,2012-11,attention,5,0.013746730275963112,45,1
2012-10,2012-11,baseline,1,0.019490087618905777,367,1
2012-10,2012-11,baseline,2,0.020199615549936253,368,1
2012-10,2012-11,baseline,3,0.018264651821573316,368,1
2012-10,2012-11,baseline,4,0.017771893015529703,368,1
2012-10,2012-11,baseline,5,0.01648057897408208,368,1
2012-10,2012-11,information,1,0.022082146179334246,18,1
2012-10,2012-11,information,2,0.0165033817750698,18,1
2012-10,2012-11,information,3,0.016062622041889487,18,1
2012-10,2012-11,information,4,0.0190729398115778,18,1
2012-10,2012-11,information,5,0.01305004082202998,19,1
2012-11,2012-12,attention,1,-0.025651660504239542,42,1
2012-11,2012-12,attention,2,-0.028526033092422066,42,1
2012-11,2012-12,attention,3,-0.031808166554591656,42,1
2012-11,2012-12,attention,4,-0.025249161310935322,42,1
2012-11,2012-12,attention,5,-0.01725912747869346,42,1
2012-11,2012-12,baseline,1,-0.026472758023323696,393,1
2012-11,2012-12,baseline,2,-0.02439669916979769,394,1
2012-11,2012-12,baseline,3,-0.025808968518333305,394,1
2012-11,2012-12,baseline,4,-0.025714322414523597,394,1
2012-11,2012-12,baseline,5,-0.025956765378770147,394,1
2012-11,2012-12,information,2,-0.006309148264984299,1,1
2012-11,2012-12,information,4,-0.0042918454935622075,1,1
2012-11,2012-12,information,5,-0.005780346820809301,1,1
2012-12,2013-01,attention,1,0.0008304781216587738,89,1
2012-12,2013-01,attention,2,-0.005273738527067065,89,1
2012-12,2013-01,attention,3,-0.0058600131346452965,89,1
2012-12,2013-01,attention,4,-0.004180648324211515,89,1
2012-12,2013-01,attention,5,-0.00463582600316095,90,1
2012-12,2013-01,baseline,1,-0.004801197389806009,350,1
2012-12,2013-01,baseline,2,-0.006133589164369022,350,1
2012-12,2013-01,baseline,3,-0.004309522588758781,350,1
2012-12,2013-01,baseline,4,-0.0026217465698615845,350,1
2012-12,2013-01,baseline,5,-0.0014295257388012466,350,1
2012-12,2013-01,information,3,-0.023292747485442078,1,1
2012-12,2013-01,information,5,-0.015243902439024404,1,1
2013-01,2013-02,attention,1,0.008024875570107531,138,1
2013-01,2013-02,attention,2,0.008806257096234183,139,1
