month,holding_month,1,10,ew_long_short_open_tradable
2022-10,2022-11,0.07906573690578289,0.04730783410179805,-0.03175790280398484
2022-11,2022-12,-0.041936021822385865,-0.05608621387480462,-0.014150192052418756
2022-12,2023-01,0.04569569766910321,0.06924757383835796,0.02355187616925475
2023-01,2023-02,0.015895537570047826,0.03505276946699893,0.019157231896951104
2023-02,2023-03,-0.014312041813513574,-0.0041751426939512955,0.010136899119562278
2023-03,2023-04,-0.03598279523685109,-0.02936707103135761,0.006615724205493483
2023-04,2023-05,0.006967562765188913,0.0065772442722690835,-0.0003903184929198297
2023-05,2023-06,0.023998131411784324,0.031022964675758873,0.007024833263974548
2023-06,2023-07,-0.0373715987047108,-0.005027348650682153,0.03234425005402865
2023-07,2023-08,-0.03450582296336568,-0.03615076763790047,-0.0016449446745347915
2023-08,2023-09,-0.030681134896653056,0.014831785147940034,0.04551292004459309
2023-09,2023-10,-0.008455417581572032,-0.003640744288020728,0.004814673293551303
2023-10,2023-11,0.03314732559797701,0.038719918199295274,0.00557259260131826
2023-11,2023-12,-0.022791966916917247,-0.02327531316672358,-0.0004833462498063344
2023-12,2024-01,-0.22174100349311807,-0.21802469336486563,0.003716310128252437
2024-01,2024-02,0.07467834160345285,0.006848141301696962,-0.06783020030175589
2024-02,2024-03,0.04733169989380223,0.06379055496245498,0.016458855068652745
2024-03,2024-04,-0.07618831990005803,-0.015270759740335451,0.06091756015972258
2024-04,2024-05,-0.025534833630122922,0.005905722923995467,0.03144055655411839
2024-05,2024-06,-0.09241917625066758,-0.08836900148351867,0.0040501747671489036
2024-06,2024-07,0.0010726383191342888,0.013413252942444534,0.012340614623310245
2024-07,2024-08,-0.0549133023614999,-0.0254799638306977,0.029433338530802197
2024-08,2024-09,0.2654482950120536,0.22565287327611305,-0.03979542173594053
2024-09,2024-10,0.10745067404184405,0.0585030692266373,-0.048947604815206755
2024-10,2024-11,0.02671332893021806,0.02901440305154426,0.0023010741213261993
2024-11,2024-12,-0.08622085653232195,-0.0621862369626467,0.02403461956967525
2024-12,2025-01,-0.027635843517759988,-0.010229616808405185,0.0174062267093548
2025-01,2025-02,0.11141159812089314,0.09169892032603627,-0.019712677794856873
2025-02,2025-03,-0.038113728751396785,-0.019431047172280384,0.0186826815791164
2025-03,2025-04,-0.043725388485793604,-0.016491909228539464,0.02723347925725414
2025-04,2025-05,0.0693385214180494,0.05501235110261863,-0.014326170315430771
2025-05,2025-06,0.05263322783686373,0.08011038695026859,0.027477159113404863
2025-06,2025-07,0.02772371523490486,0.07084618014883416,0.043122464913929306
2025-07,2025-08,0.08632723477677956,0.07353063359635473,-0.012796601180424833
2025-08,2025-09,-0.02934075334892983,0.03421107788661577,0.0635518312355456
2025-09,2025-10,0.005293959364261375,-0.009121143309975106,-0.014415102674236482
2025-10,2025-11,-0.019921119341785868,0.001960350165767814,0.02188146950755368
2025-11,2025-12,0.00751158281277481,0.014479973903330062,0.006968391090555252
2025-12,2026-01,0.04154126364848345,0.10501605585235571,0.06347479220387225
2026-01,2026-02,0.04386540562081483,0.03785930118783982,-0.006006104432975015
2026-02,2026-03,-0.12451889150483327,-0.08757102586446179,0.036947865640371474
2026-03,2026-04,0.0739464449765758,0.09086680376095213,0.016920358784376324
2026-04,2026-05,-0.05057025218398915,0.04377150925153582,0.09434176143552497
2026-05,2026-06,-0.01411152474245251,0.07179913763347101,0.08591066237592351
2026-06,2026-07,-0.18375015716875628,-0.18530928145655368,-0.001559124287797392
