month,decile,stocks,excluded_open_limit,excluded_pct
2017-11,1,281,1,0.0035587188612099642
2017-11,10,281,1,0.0035587188612099642
2017-12,1,283,3,0.01060070671378092
2017-12,10,283,1,0.0035335689045936395
2018-01,1,288,10,0.034722222222222224
2018-01,10,289,2,0.006920415224913495
2018-02,1,288,2,0.006944444444444444
2018-02,10,289,1,0.0034602076124567475
2018-03,1,291,2,0.006872852233676976
2018-03,10,292,3,0.010273972602739725
2018-04,1,295,11,0.03728813559322034
2018-04,10,296,0,0.0
2018-05,1,302,5,0.016556291390728478
2018-05,10,303,3,0.009900990099009901
2018-06,1,307,13,0.04234527687296417
2018-06,10,307,6,0.019543973941368076
2018-07,1,310,6,0.01935483870967742
2018-07,10,310,0,0.0
2018-08,1,317,4,0.012618296529968454
2018-08,10,318,1,0.0031446540880503146
2018-09,1,323,4,0.01238390092879257
2018-09,10,324,1,0.0030864197530864196
2018-10,1,328,5,0.01524390243902439
2018-10,10,329,3,0.00911854103343465
2018-11,1,334,4,0.011976047904191617
2018-11,10,335,3,0.008955223880597015
2018-12,1,337,1,0.002967359050445104
2018-12,10,338,0,0.0
2019-01,1,339,9,0.02654867256637168
2019-01,10,340,2,0.0058823529411764705
2019-02,1,340,6,0.01764705882352941
2019-02,10,341,3,0.008797653958944282
2019-03,1,341,9,0.026392961876832845
2019-03,10,342,6,0.017543859649122806
2019-04,1,342,31,0.09064327485380116
2019-04,10,343,9,0.026239067055393587
2019-05,1,338,5,0.014792899408284023
2019-05,10,339,5,0.014749262536873156
2019-06,1,338,3,0.008875739644970414
2019-06,10,339,0,0.0
2019-07,1,337,0,0.0
2019-07,10,339,0,0.0
2019-08,1,339,1,0.0029498525073746312
2019-08,10,340,2,0.0058823529411764705
2019-09,1,340,1,0.0029411764705882353
2019-09,10,341,1,0.002932551319648094
2019-10,1,340,8,0.023529411764705882
2019-10,10,340,1,0.0029411764705882353
2019-11,1,340,1,0.0029411764705882353
2019-11,10,340,1,0.0029411764705882353
2019-12,1,340,2,0.0058823529411764705
2019-12,10,342,6,0.017543859649122806
2020-01,1,342,292,0.8538011695906432
2020-01,10,343,213,0.6209912536443148
2020-02,1,343,2,0.0058309037900874635
2020-02,10,344,5,0.014534883720930232
2020-03,1,344,2,0.005813953488372093
2020-03,10,345,1,0.002898550724637681
2020-04,1,345,21,0.06086956521739131
2020-04,10,346,3,0.008670520231213872
2020-05,1,340,3,0.008823529411764706
2020-05,10,341,7,0.020527859237536656
2020-06,1,342,17,0.049707602339181284
2020-06,10,343,4,0.011661807580174927
2020-07,1,344,1,0.0029069767441860465
2020-07,10,344,7,0.020348837209302327
2020-08,1,344,2,0.005813953488372093
2020-08,10,343,3,0.008746355685131196
2020-09,1,345,2,0.005797101449275362
2020-09,10,346,3,0.008670520231213872
2020-10,1,346,0,0.0
2020-10,10,347,0,0.0
2020-11,1,350,3,0.008571428571428572
2020-11,10,351,3,0.008547008547008548
2020-12,1,353,0,0.0
2020-12,10,352,2,0.005681818181818182
2021-01,1,353,16,0.0453257790368272
2021-01,10,355,4,0.011267605633802818
2021-02,1,356,3,0.008426966292134831
2021-02,10,357,2,0.0056022408963585435
2021-03,1,357,3,0.008403361344537815
2021-03,10,359,4,0.011142061281337047
2021-04,1,363,15,0.04132231404958678
2021-04,10,362,1,0.0027624309392265192
2021-05,1,362,2,0.0055248618784530384
2021-05,10,363,5,0.013774104683195593
2021-06,1,366,2,0.00546448087431694
2021-06,10,367,2,0.005449591280653951
2021-07,1,369,1,0.0027100271002710027
2021-07,10,371,4,0.01078167115902965
2021-08,1,377,1,0.002652519893899204
2021-08,10,377,0,0.0
2021-09,1,384,0,0.0
2021-09,10,383,2,0.005221932114882507
2021-10,1,386,2,0.0051813471502590676
2021-10,10,387,0,0.0
2021-11,1,388,1,0.002577319587628866
2021-11,10,389,1,0.002570694087403599
2021-12,1,394,3,0.007614213197969543
2021-12,10,394,5,0.012690355329949238
2022-01,1,397,8,0.020151133501259445
2022-01,10,398,3,0.007537688442211055
2022-02,1,399,0,0.0
2022-02,10,400,3,0.0075
2022-03,1,404,4,0.009900990099009901
2022-03,10,405,2,0.0049382716049382715
2022-04,1,410,4,0.00975609756097561
2022-04,10,411,4,0.009732360097323601
2022-05,1,413,7,0.01694915254237288
2022-05,10,411,3,0.0072992700729927005
2022-06,1,403,0,0.0
2022-06,10,414,2,0.004830917874396135
2022-07,1,420,4,0.009523809523809525
2022-07,10,422,2,0.004739336492890996
2022-08,1,427,0,0.0
2022-08,10,427,2,0.00468384074941452
2022-09,1,431,0,0.0
2022-09,10,432,3,0.006944444444444444
2022-10,1,434,2,0.004608294930875576
2022-10,10,435,1,0.0022988505747126436
2022-11,1,438,0,0.0
2022-11,10,439,5,0.011389521640091117
2022-12,1,442,3,0.006787330316742082
2022-12,10,443,1,0.002257336343115124
2023-01,1,445,1,0.0022471910112359553
2023-01,10,446,1,0.002242152466367713
2023-02,1,447,0,0.0
2023-02,10,448,1,0.002232142857142857
2023-03,1,450,0,0.0
2023-03,10,451,0,0.0
2023-04,1,454,7,0.015418502202643172
2023-04,10,455,1,0.002197802197802198
2023-05,1,450,1,0.0022222222222222222
2023-05,10,452,0,0.0
2023-06,1,454,1,0.0022026431718061676
2023-06,10,456,0,0.0
2023-07,1,456,0,0.0
2023-07,10,456,0,0.0
2023-08,1,462,0,0.0
2023-08,10,463,1,0.0021598272138228943
2023-09,1,466,3,0.006437768240343348
2023-09,10,467,2,0.004282655246252677
2023-10,1,469,3,0.006396588486140725
2023-10,10,470,2,0.00425531914893617
2023-11,1,471,0,0.0
2023-11,10,472,2,0.00423728813559322
2023-12,1,474,1,0.002109704641350211
2023-12,10,475,0,0.0
2024-01,1,475,16,0.03368421052631579
2024-01,10,475,6,0.01263157894736842
2024-02,1,476,2,0.004201680672268907
2024-02,10,477,6,0.012578616352201259
2024-03,1,478,3,0.006276150627615063
2024-03,10,479,3,0.006263048016701462
2024-04,1,480,29,0.06041666666666667
2024-04,10,482,3,0.006224066390041493
2024-05,1,477,2,0.0041928721174004195
2024-05,10,478,0,0.0
2024-06,1,480,5,0.010416666666666666
2024-06,10,483,3,0.006211180124223602
2024-07,1,484,6,0.012396694214876033
2024-07,10,485,3,0.006185567010309278
2024-08,1,488,0,0.0
2024-08,10,488,2,0.004098360655737705
2024-09,1,489,163,0.3333333333333333
2024-09,10,490,224,0.45714285714285713
2024-10,1,490,7,0.014285714285714285
2024-10,10,491,13,0.026476578411405296
2024-11,1,490,5,0.01020408163265306
2024-11,10,491,7,0.014256619144602852
2024-12,1,491,2,0.004073319755600814
2024-12,10,492,2,0.0040650406504065045
2025-01,1,492,6,0.012195121951219513
2025-01,10,493,12,0.02434077079107505
2025-02,1,493,1,0.002028397565922921
2025-02,10,494,2,0.004048582995951417
2025-03,1,493,8,0.016227180527383367
2025-03,10,494,4,0.008097165991902834
2025-04,1,493,23,0.04665314401622718
2025-04,10,494,5,0.010121457489878543
2025-05,1,486,3,0.006172839506172839
2025-05,10,486,4,0.00823045267489712
2025-06,1,488,5,0.010245901639344262
2025-06,10,490,2,0.004081632653061225
2025-07,1,490,1,0.0020408163265306124
2025-07,10,486,1,0.00205761316872428
2025-08,1,489,1,0.002044989775051125
2025-08,10,490,2,0.004081632653061225
2025-09,1,490,3,0.006122448979591836
2025-09,10,491,4,0.008146639511201629
2025-10,1,489,1,0.002044989775051125
2025-10,10,491,1,0.002036659877800407
2025-11,1,491,1,0.002036659877800407
2025-11,10,491,5,0.010183299389002037
2025-12,1,491,2,0.004073319755600814
2025-12,10,493,5,0.010141987829614604
2026-01,1,492,10,0.02032520325203252
2026-01,10,492,22,0.044715447154471545
2026-02,1,492,10,0.02032520325203252
2026-02,10,493,6,0.012170385395537525
2026-03,1,494,1,0.0020242914979757085
2026-03,10,494,0,0.0
2026-04,1,493,21,0.04259634888438134
2026-04,10,496,6,0.012096774193548387
2026-05,1,487,2,0.004106776180698152
2026-05,10,488,1,0.0020491803278688526
2026-06,1,488,2,0.004098360655737705
2026-06,10,493,0,0.0
