formation_month,holding_month,decile,n,ew_return,ew_market_return,ew_market_adjusted,vw_return,vw_available,effective_bins
2024-02,2024-03,6,476,0.05299127480503481,0.047685206919532645,0.005306067885502162,0.016213504827343402,True,10
2024-02,2024-03,7,476,0.04092960483057717,0.047685206919532645,-0.006755602088955474,0.029676432249560954,True,10
2024-02,2024-03,8,477,0.03941107218540454,0.047685206919532645,-0.008274134734128108,0.007064469495964835,True,10
2024-02,2024-03,9,476,0.0541013088786868,0.047685206919532645,0.006416101959154152,0.01778859451575463,True,10
2024-02,2024-03,10,477,0.06454039667329284,0.047685206919532645,0.016855189753760193,0.0181878269843319,True,10
2024-03,2024-04,1,478,-0.07725411011538234,-0.015057147906657494,-0.06219696220872485,-0.04137201463855535,True,10
2024-03,2024-04,2,479,-0.037769415298727294,-0.015057147906657494,-0.0227122673920698,-0.0031586812136816063,True,10
2024-03,2024-04,3,479,-0.018019455068459877,-0.015057147906657494,-0.002962307161802383,0.008479423830915931,True,10
2024-03,2024-04,4,479,-0.002912450712697505,-0.015057147906657494,0.012144697193959988,0.025983718093638128,True,10
2024-03,2024-04,5,479,0.006965852458667163,-0.015057147906657494,0.022023000365324657,0.023820618716728727,True,10
2024-03,2024-04,6,479,0.0020017171878420766,-0.015057147906657494,0.01705886509449957,0.026359458088570615,True,10
2024-03,2024-04,7,479,0.006913981389022662,-0.015057147906657494,0.021971129295680156,,False,10
2024-03,2024-04,8,479,-0.0027092730940780413,-0.015057147906657494,0.012347874812579453,0.017146668879543366,True,10
2024-03,2024-04,9,479,-0.011905735591115388,-0.015057147906657494,0.0031514123155421056,0.014528425593508311,True,10
2024-03,2024-04,10,479,-0.016012437741915145,-0.015057147906657494,-0.000955289835257651,0.019580619445583678,True,10
2024-04,2024-05,1,480,-0.036643923320847975,-0.014526599490258378,-0.0221173238305896,-0.035892275892583814,True,10
2024-04,2024-05,2,482,-0.013815313799430578,-0.014526599490258378,0.0007112856908278002,-0.008128999730796132,True,10
2024-04,2024-05,3,481,-0.017795402223200352,-0.014526599490258378,-0.003268802732941974,-0.00619290594214935,True,10
2024-04,2024-05,4,482,-0.02753359757822134,-0.014526599490258378,-0.01300699808796296,-0.017473819035147924,True,10
2024-04,2024-05,5,481,-0.008092321669565744,-0.014526599490258378,0.006434277820692634,0.004745575641239153,True,10
2024-04,2024-05,6,482,-0.021806531507348324,-0.014526599490258378,-0.007279932017089945,-0.018129577273670757,True,10
2024-04,2024-05,7,481,-0.007256155704855044,-0.014526599490258378,0.007270443785403334,-0.00245132825232883,True,10
2024-04,2024-05,8,481,-0.011184082229221237,-0.014526599490258378,0.0033425172610371413,,False,10
2024-04,2024-05,9,481,-0.006638587689833534,-0.014526599490258378,0.007888011800424845,-0.010109905052125641,True,10
2024-04,2024-05,10,482,0.005453098828806401,-0.014526599490258378,0.01997969831906478,-0.005261262253567058,True,10
2024-05,2024-06,1,477,-0.09335897470329162,-0.0835027234387743,-0.009856251264517321,-0.03109196845995724,True,10
2024-05,2024-06,2,478,-0.08399816908337031,-0.0835027234387743,-0.0004954456445960126,-0.06484769755359211,True,10
2024-05,2024-06,3,477,-0.07838507054580725,-0.0835027234387743,0.005117652892967048,-0.03784140731584996,True,10
2024-05,2024-06,4,478,-0.08616103961913835,-0.0835027234387743,-0.002658316180364051,-0.04467440349762221,True,10
2024-05,2024-06,5,478,-0.07509676902955048,-0.0835027234387743,0.008405954409223815,,False,10
2024-05,2024-06,6,477,-0.07486577730065248,-0.0835027234387743,0.008636946138121812,-0.023286068371119503,True,10
2024-05,2024-06,7,478,-0.08465003999965853,-0.0835027234387743,-0.0011473165608842373,-0.01991817243636614,True,10
2024-05,2024-06,8,477,-0.08630980391777245,-0.0835027234387743,-0.00280708047899815,-0.06243486535985055,True,10
2024-05,2024-06,9,478,-0.08383030571902561,-0.0835027234387743,-0.0003275822802513151,-0.05256812080010182,True,10
2024-05,2024-06,10,478,-0.08836900148351867,-0.0835027234387743,-0.0048662780447443765,-0.030001621639277526,True,10
2024-06,2024-07,1,480,0.0011093482863134571,0.005650707126901874,-0.004541358840588417,0.007665254311356225,True,10
2024-06,2024-07,2,483,-0.004739884898764135,0.005650707126901874,-0.010390592025666008,-0.016728908729060212,True,10
2024-06,2024-07,3,482,0.005404709388232378,0.005650707126901874,-0.00024599773866949576,0.004034650602050245,True,10
