formation_month,holding_month,decile,n,below_30
2013-09,2013-10,2,235,False
2013-09,2013-10,3,235,False
2013-09,2013-10,4,235,False
2013-09,2013-10,5,235,False
2013-09,2013-10,6,235,False
2013-09,2013-10,7,235,False
2013-09,2013-10,8,235,False
2013-09,2013-10,9,235,False
2013-09,2013-10,10,235,False
2013-10,2013-11,1,236,False
2013-10,2013-11,2,236,False
2013-10,2013-11,3,236,False
2013-10,2013-11,4,236,False
2013-10,2013-11,5,236,False
2013-10,2013-11,6,236,False
2013-10,2013-11,7,236,False
2013-10,2013-11,8,236,False
2013-10,2013-11,9,236,False
2013-10,2013-11,10,236,False
2013-11,2013-12,1,235,False
2013-11,2013-12,2,236,False
2013-11,2013-12,3,235,False
2013-11,2013-12,4,236,False
2013-11,2013-12,5,235,False
2013-11,2013-12,6,236,False
2013-11,2013-12,7,235,False
2013-11,2013-12,8,236,False
2013-11,2013-12,9,235,False
2013-11,2013-12,10,236,False
2013-12,2014-01,1,236,False
2013-12,2014-01,2,236,False
2013-12,2014-01,3,236,False
2013-12,2014-01,4,236,False
2013-12,2014-01,5,236,False
2013-12,2014-01,6,236,False
2013-12,2014-01,7,236,False
2013-12,2014-01,8,236,False
2013-12,2014-01,9,236,False
2013-12,2014-01,10,236,False
2014-01,2014-02,1,235,False
2014-01,2014-02,2,236,False
2014-01,2014-02,3,236,False
2014-01,2014-02,4,235,False
2014-01,2014-02,5,236,False
2014-01,2014-02,6,236,False
2014-01,2014-02,7,235,False
2014-01,2014-02,8,236,False
2014-01,2014-02,9,236,False
2014-01,2014-02,10,236,False
2014-02,2014-03,1,233,False
2014-02,2014-03,2,234,False
2014-02,2014-03,3,234,False
2014-02,2014-03,4,234,False
2014-02,2014-03,5,234,False
2014-02,2014-03,6,233,False
2014-02,2014-03,7,234,False
2014-02,2014-03,8,234,False
2014-02,2014-03,9,234,False
2014-02,2014-03,10,234,False
2014-03,2014-04,1,235,False
2014-03,2014-04,2,235,False
2014-03,2014-04,3,235,False
2014-03,2014-04,4,235,False
2014-03,2014-04,5,235,False
2014-03,2014-04,6,235,False
2014-03,2014-04,7,235,False
2014-03,2014-04,8,235,False
2014-03,2014-04,9,235,False
2014-03,2014-04,10,236,False
2014-04,2014-05,1,233,False
2014-04,2014-05,2,233,False
2014-04,2014-05,3,233,False
2014-04,2014-05,4,233,False
2014-04,2014-05,5,233,False
2014-04,2014-05,6,233,False
2014-04,2014-05,7,233,False
2014-04,2014-05,8,233,False
2014-04,2014-05,9,233,False
2014-04,2014-05,10,234,False
2014-05,2014-06,1,229,False
2014-05,2014-06,2,229,False
2014-05,2014-06,3,229,False
2014-05,2014-06,4,229,False
2014-05,2014-06,5,230,False
2014-05,2014-06,6,229,False
2014-05,2014-06,7,229,False
2014-05,2014-06,8,229,False
2014-05,2014-06,9,229,False
2014-05,2014-06,10,230,False
2014-06,2014-07,1,230,False
2014-06,2014-07,2,231,False
2014-06,2014-07,3,230,False
2014-06,2014-07,4,231,False
2014-06,2014-07,5,230,False
2014-06,2014-07,6,231,False
2014-06,2014-07,7,230,False
2014-06,2014-07,8,231,False
2014-06,2014-07,9,230,False
2014-06,2014-07,10,230,False
2014-07,2014-08,1,231,False
2014-07,2014-08,2,231,False
2014-07,2014-08,3,231,False
2014-07,2014-08,4,231,False
2014-07,2014-08,5,231,False
2014-07,2014-08,6,231,False
2014-07,2014-08,7,231,False
2014-07,2014-08,8,231,False
2014-07,2014-08,9,231,False
2014-07,2014-08,10,231,False
2014-08,2014-09,1,230,False
2014-08,2014-09,2,230,False
2014-08,2014-09,3,231,False
2014-08,2014-09,4,230,False
2014-08,2014-09,5,231,False
2014-08,2014-09,6,230,False
2014-08,2014-09,7,230,False
2014-08,2014-09,8,231,False
2014-08,2014-09,9,230,False
2014-08,2014-09,10,231,False
2014-09,2014-10,1,231,False
2014-09,2014-10,2,232,False
2014-09,2014-10,3,232,False
2014-09,2014-10,4,232,False
2014-09,2014-10,5,232,False
2014-09,2014-10,6,231,False
2014-09,2014-10,7,232,False
2014-09,2014-10,8,232,False
2014-09,2014-10,9,232,False
2014-09,2014-10,10,232,False
2014-10,2014-11,1,227,False
2014-10,2014-11,2,228,False
2014-10,2014-11,3,228,False
2014-10,2014-11,4,228,False
2014-10,2014-11,5,228,False
2014-10,2014-11,6,227,False
2014-10,2014-11,7,228,False
2014-10,2014-11,8,228,False
2014-10,2014-11,9,228,False
2014-10,2014-11,10,228,False
2014-11,2014-12,1,227,False
2014-11,2014-12,2,228,False
2014-11,2014-12,3,227,False
2014-11,2014-12,4,228,False
2014-11,2014-12,5,227,False
2014-11,2014-12,6,228,False
2014-11,2014-12,7,227,False
2014-11,2014-12,8,228,False
2014-11,2014-12,9,227,False
2014-11,2014-12,10,228,False
2014-12,2015-01,1,230,False
2014-12,2015-01,2,230,False
2014-12,2015-01,3,230,False
2014-12,2015-01,4,230,False
