month,decile,stocks,overlap_with_prior_month,one_way_turnover
2020-02,3,344,38,0.8895348837209303
2020-03,3,344,40,0.8837209302325582
2020-04,3,346,42,0.8786127167630058
2020-05,3,340,46,0.8647058823529412
2020-06,3,342,48,0.8596491228070176
2020-07,3,344,47,0.8633720930232558
2020-08,3,346,41,0.8815028901734104
2020-09,3,346,38,0.8901734104046243
2020-10,3,347,50,0.8559077809798271
2020-11,3,351,39,0.8888888888888888
2020-12,3,353,55,0.8441926345609065
2021-01,3,355,42,0.8816901408450705
2021-02,3,357,36,0.8991596638655462
2021-03,3,359,40,0.8885793871866295
2021-04,3,364,36,0.9010989010989011
2021-05,3,362,46,0.8729281767955801
2021-06,3,366,49,0.8661202185792349
2021-07,3,372,33,0.9112903225806451
2021-08,3,377,43,0.8859416445623343
2021-09,3,384,43,0.8880208333333334
2021-10,3,386,48,0.8756476683937824
2021-11,3,388,38,0.9020618556701031
2021-12,3,394,42,0.8934010152284264
2022-01,3,397,48,0.8790931989924433
2022-02,3,400,50,0.875
2022-03,3,404,46,0.8861386138613861
2022-04,3,410,38,0.9073170731707317
2022-05,3,413,64,0.8450363196125907
2022-06,3,421,45,0.8931116389548693
2022-07,3,423,42,0.900709219858156
2022-08,3,427,59,0.8618266978922717
2022-09,3,431,51,0.8816705336426914
2022-10,3,434,49,0.8870967741935484
2022-11,3,438,56,0.8721461187214612
2022-12,3,442,49,0.8891402714932126
2023-01,3,446,48,0.8923766816143498
2023-02,3,447,35,0.9217002237136466
2023-03,3,451,52,0.8847006651884701
2023-04,3,454,60,0.8678414096916299
2023-05,3,452,52,0.8849557522123894
2023-06,3,456,66,0.8552631578947368
2023-07,3,459,56,0.8779956427015251
2023-08,3,463,63,0.8639308855291576
2023-09,3,466,57,0.8776824034334764
2023-10,3,469,52,0.8891257995735607
2023-11,3,472,70,0.8516949152542372
2023-12,3,474,59,0.8755274261603375
2024-01,3,475,56,0.8821052631578947
2024-02,3,477,54,0.8867924528301887
2024-03,3,479,64,0.8663883089770354
2024-04,3,481,51,0.8939708939708939
2024-05,3,477,62,0.870020964360587
2024-06,3,482,57,0.8817427385892116
2024-07,3,486,56,0.8847736625514403
2024-08,3,488,64,0.8688524590163934
2024-09,3,489,57,0.8834355828220859
2024-10,3,490,57,0.8836734693877552
2024-11,3,491,62,0.8737270875763747
2024-12,3,492,64,0.8699186991869918
2025-01,3,492,60,0.8780487804878049
2025-02,3,493,47,0.9046653144016227
2025-03,3,493,50,0.8985801217038539
2025-04,3,493,59,0.8803245436105477
2025-05,3,487,52,0.893223819301848
2025-06,3,490,71,0.8551020408163266
2025-07,3,490,64,0.8693877551020408
2025-08,3,490,65,0.8673469387755102
2025-09,3,490,69,0.8591836734693877
2025-10,3,491,58,0.8818737270875764
2025-11,3,491,61,0.8757637474541752
2025-12,3,492,73,0.8516260162601625
2026-01,3,493,66,0.8661257606490872
2026-02,3,492,60,0.8780487804878049
2026-03,3,494,71,0.8562753036437247
2026-04,3,496,50,0.8991935483870968
2026-05,3,487,53,0.891170431211499
2026-06,3,492,41,0.9166666666666666
2026-07,3,492,41,0.9166666666666666
2010-02,4,145,18,0.8758620689655172
2010-03,4,144,15,0.8958333333333334
2010-04,4,143,16,0.8881118881118881
2010-05,4,141,16,0.8865248226950355
2010-06,4,142,18,0.8732394366197183
2010-07,4,142,17,0.8802816901408451
2010-08,4,142,12,0.9154929577464789
2010-09,4,144,15,0.8958333333333334
2010-10,4,145,23,0.8413793103448276
2010-11,4,148,13,0.9121621621621622
2010-12,4,152,15,0.9013157894736842
