model,formation_month,decile,stocks,overlap,one_way_turnover
lightgbm,2020-05,10,341,134,0.6070381231671554
lightgbm,2020-06,10,342,157,0.5409356725146199
lightgbm,2020-07,10,344,127,0.6308139534883721
lightgbm,2020-08,10,345,122,0.6463768115942029
lightgbm,2020-09,10,346,146,0.5780346820809248
lightgbm,2020-10,10,347,161,0.5360230547550433
lightgbm,2020-11,10,350,126,0.64
lightgbm,2020-12,10,353,152,0.5694050991501416
lightgbm,2021-01,10,355,154,0.5661971830985916
lightgbm,2021-02,10,357,140,0.607843137254902
lightgbm,2021-03,10,359,138,0.6155988857938719
lightgbm,2021-04,10,363,147,0.5950413223140496
lightgbm,2021-05,10,362,169,0.5331491712707183
lightgbm,2021-06,10,367,165,0.5504087193460491
lightgbm,2021-07,10,371,158,0.5741239892183289
lightgbm,2021-08,10,378,160,0.5767195767195767
lightgbm,2021-09,10,384,160,0.5833333333333333
lightgbm,2021-10,10,386,186,0.5181347150259068
lightgbm,2021-11,10,389,188,0.5167095115681234
lightgbm,2021-12,10,394,162,0.5888324873096447
lightgbm,2022-01,10,397,202,0.49118387909319894
lightgbm,2022-02,10,400,187,0.5325
lightgbm,2022-03,10,404,202,0.5
lightgbm,2022-04,10,410,213,0.48048780487804876
lightgbm,2022-05,10,413,204,0.5060532687651331
lightgbm,2022-06,10,418,204,0.5119617224880383
lightgbm,2022-07,10,422,235,0.443127962085308
lightgbm,2022-08,10,427,216,0.49414519906323184
lightgbm,2022-09,10,431,194,0.5498839907192575
lightgbm,2022-10,10,435,222,0.4896551724137931
lightgbm,2022-11,10,438,226,0.4840182648401826
lightgbm,2022-12,10,443,221,0.5011286681715575
lightgbm,2023-01,10,446,222,0.5022421524663677
lightgbm,2023-02,10,447,223,0.5011185682326622
lightgbm,2023-03,10,451,214,0.5254988913525499
lightgbm,2023-04,10,454,245,0.460352422907489
lightgbm,2023-05,10,452,238,0.4734513274336283
lightgbm,2023-06,10,456,256,0.4385964912280702
lightgbm,2023-07,10,458,212,0.537117903930131
lightgbm,2023-08,10,462,176,0.6190476190476191
lightgbm,2023-09,10,466,210,0.5493562231759657
lightgbm,2023-10,10,469,277,0.4093816631130064
lightgbm,2023-11,10,472,283,0.40042372881355937
lightgbm,2023-12,10,475,254,0.4652631578947368
lightgbm,2024-01,10,475,267,0.4378947368421052
lightgbm,2024-02,10,477,238,0.5010482180293501
lightgbm,2024-03,10,479,226,0.5281837160751566
lightgbm,2024-04,10,482,189,0.607883817427386
lightgbm,2024-05,10,478,224,0.5313807531380753
lightgbm,2024-06,10,482,240,0.5020746887966805
lightgbm,2024-07,10,486,246,0.49382716049382713
lightgbm,2024-08,10,488,234,0.5204918032786885
lightgbm,2024-09,10,489,240,0.50920245398773
lightgbm,2024-10,10,490,194,0.6040816326530613
lightgbm,2024-11,10,491,209,0.5743380855397149
