model,formation_month,holding_month,ic,n
lightgbm,2020-11,2020-12,-0.1582855358542433,3499
lightgbm,2020-12,2021-01,-0.020219646107887724,3527
lightgbm,2021-01,2021-02,0.17173599176184337,3545
lightgbm,2021-02,2021-03,0.1629014779912938,3563
lightgbm,2021-03,2021-04,0.10934323467301478,3583
lightgbm,2021-04,2021-05,-0.06467969783216364,3628
lightgbm,2021-05,2021-06,0.12963334095455106,3618
lightgbm,2021-06,2021-07,-0.009579679391830964,3661
lightgbm,2021-07,2021-08,0.09107143595789259,3706
lightgbm,2021-08,2021-09,0.11425811403863803,3772
lightgbm,2021-09,2021-10,0.011151589698770807,3834
lightgbm,2021-10,2021-11,0.20033215508326144,3854
lightgbm,2021-11,2021-12,0.21493821232868188,3882
lightgbm,2021-12,2022-01,0.273940994536242,3936
lightgbm,2022-01,2022-02,0.01976457267632994,3966
lightgbm,2022-02,2022-03,0.05749293801967765,3995
lightgbm,2022-03,2022-04,0.007139583292133747,4038
lightgbm,2022-04,2022-05,0.16148104679524153,4098
lightgbm,2022-05,2022-06,0.09560291185525503,4125
lightgbm,2022-06,2022-07,0.17950811618936643,4172
lightgbm,2022-07,2022-08,0.1821867940784286,4219
lightgbm,2022-08,2022-09,0.05118683467594713,4268
lightgbm,2022-09,2022-10,0.24574135520624563,4308
lightgbm,2022-10,2022-11,0.0797028787183772,4342
lightgbm,2022-11,2022-12,0.028670295057417496,4380
lightgbm,2022-12,2023-01,0.24756035389560777,4422
lightgbm,2023-01,2023-02,0.24761235089539427,4456
lightgbm,2023-02,2023-03,0.0015780737576510725,4468
lightgbm,2023-03,2023-04,0.007620625424963192,4505
lightgbm,2023-04,2023-05,0.22370391569798972,4540
lightgbm,2023-05,2023-06,0.1165110838369732,4511
lightgbm,2023-06,2023-07,0.23986081361943695,4559
lightgbm,2023-07,2023-08,0.2507026647107848,4573
lightgbm,2023-08,2023-09,0.19959849754878883,4618
lightgbm,2023-09,2023-10,0.0775762530060953,4658
lightgbm,2023-10,2023-11,0.25589163173975643,4687
lightgbm,2023-11,2023-12,0.13449680047165866,4714
lightgbm,2023-12,2024-01,-0.06741751959281878,4741
lightgbm,2024-01,2024-02,-0.35451240419375385,4747
lightgbm,2024-02,2024-03,0.2752332381183206,4762
lightgbm,2024-03,2024-04,0.08041918583354979,4785
lightgbm,2024-04,2024-05,0.04213115374630751,4812
lightgbm,2024-05,2024-06,-0.08794445125009683,4773
lightgbm,2024-06,2024-07,0.12399421571347838,4817
lightgbm,2024-07,2024-08,0.23670844444359487,4856
lightgbm,2024-08,2024-09,-0.0615279294749082,4877
lightgbm,2024-09,2024-10,-0.02946284476119407,4890
lightgbm,2024-10,2024-11,0.31596345693850403,4898
lightgbm,2024-11,2024-12,0.020329376710857692,4905
lightgbm,2024-12,2025-01,0.16575218285405036,4918
lightgbm,2025-01,2025-02,0.024835369339874985,4923
lightgbm,2025-02,2025-03,0.22008305196507263,4927
lightgbm,2025-03,2025-04,0.20483891537345117,4933
lightgbm,2025-04,2025-05,0.22576929547992905,4932
lightgbm,2025-05,2025-06,0.21024747153491286,4866
lightgbm,2025-06,2025-07,0.19187562326994043,4888
lightgbm,2025-07,2025-08,-0.10183133650296748,4891
lightgbm,2025-08,2025-09,0.08992419210013265,4897
lightgbm,2025-09,2025-10,0.2749394318856244,4903
lightgbm,2025-10,2025-11,0.23190303102398913,4904
lightgbm,2025-11,2025-12,-0.08047323631197281,4909
lightgbm,2025-12,2026-01,0.15786666420657242,4921
lightgbm,2026-01,2026-02,0.06503401155725572,4925
lightgbm,2026-02,2026-03,0.1043066106213095,4924
lightgbm,2026-03,2026-04,0.04137184567275706,4937
lightgbm,2026-04,2026-05,-0.12689385023360267,4950
